id,name,company_name_cleaned
3837,DUNELAND LIMITED,Duneland
3838,GRACECHURCH UTG NO. 206 LIMITED,Gracechurch Utg No. 206
3839,BOLAND SCOTTISH PROPERTIES LIMITED,Boland Scottish Properties
3840,J.J. HARRIS & SON TAXI REPAIRS (GLW) LIMITED,J.J. Harris & Son Taxi Repairs
3841,CANCER FOCUS NORTHERN IRELAND,Cancer Focus Northern Ireland
3842,GEORGE RAEBURN (MINERALS) LIMITED,George Raeburn
3843,CWM HARRY LAND TRUST LIMITED,Cwm Harry Land Trust
3844,LEICESTER LIFT COMPANY LIMITED,Leicester Lift
3845,KLISKEY INDEPENDENT FINANCIAL SERVICES LIMITED,Kliskey Independent Financial Services
3846,IP CONSULTING LIMITED,Ip Consulting
3847,SIMPLE GREEN TECHNOLOGIES LTD,Simple Green Technologies
3848,BOYD (TRUSTEES) LIMITED,Boyd
3849,DIALOGIC (NI) LTD,Dialogic
3850,EVORA DEVELOPMENTS LTD.,Evora Developments
3851,CLOUDAPPS LTD,Cloudapps
3852,APERI LIMITED,Aperi
3853,KEITH PERRYMAN ELECTRICAL CONTRACTORS LIMITED,Keith Perryman Electrical Contractors
3854,COMMUNIQUE-ONLINE LIMITED,Communique-Online
3855,TAS RACING LTD,Tas Racing
3856,BRIGHTER BLINDS LIMITED,Brighter Blinds
3857,CREATIVE LOGIC SOLUTIONS LIMITED,Creative Logic Solutions
3858,FUSION COMPONENTS LIMITED,Fusion Components
3859,MOBIUS STUDIO LIMITED,Mobius Studio
3860,JUST FACADES.COM LTD,Just Facades.Com
3861,SOCIETE LIMITED,Societe
3862,BREAKTIME MAGAZINES LIMITED,Breaktime Magazines
3863,GROUNDWATER MONITORING & DRILLING LIMITED,Groundwater Monitoring & Drilling
3864,IN-A COACHING LTD,In-A Coaching
3865,CLARKE CONTROLS LIMITED,Clarke Controls
3866,ELECTRIKS LIMITED,Electriks
3867,CONDUCE LTD,Conduce
3868,KARCARE SERVICES LIMITED,Karcare Services
3869,BLUE CROSS (D&B) COMPANY LIMITED,Blue Cross
3870,MPA RECRUITMENT LTD,Mpa Recruitment
3871,HIGHER BOWDEN HOLIDAY COTTAGES LIMITED,Higher Bowden Holiday Cottages
3872,TAYLIGN SOLUTIONS LIMITED,Taylign Solutions
3873,DUNCAN EDWARDS PROPERTY MANAGEMENT SERVICES LIMITED,Duncan Edwards Property Management Services
3874,FREELANCE DESIGN PARTNERSHIP LIMITED,Freelance Design Partnership
3875,GRYFFYDD JOHN RINGE ARCHITECTS LIMITED,Gryffydd John Ringe Architects
3876,SARAS TECHNOLOGY LIMITED,Saras Technology
3877,AMAZING 15 LIMITED,Amazing 15
3878,3ANGRYMEN PRODUCTIONS LIMITED,3Angrymen Productions
3879,ALLENBY ACCOUNTANTS LTD,Allenby Accountants
3880,ALDER MEDIA LIMITED,Alder Media
3881,4YP UK LIMITED,4Yp
3882,ALMONDBURY GARAGE HUDDERSFIELD LIMITED,Almondbury Garage Huddersfield
3883,IDEAS BY MUSIC LIMITED,Ideas By Music
3884,CLAYSON LOFT COMPANY LIMITED,Clayson Loft
3885,WILLIAM J. M. FRASER & CO. LIMITED,William J. M. Fraser
3886,AMARA PROPERTY INVESTMENTS LTD,Amara Property Investments
3887,ADVANTAGE GLOBAL TRADE SOLUTIONS LIMITED,Advantage Global Trade Solutions
3888,A LICENCE 2 DRIVE (UK) LIMITED,A Licence 2 Drive
3889,19TEN LIMITED,19Ten
3890,SERENDIB SOLUTIONS LTD,Serendib Solutions
3891,ADRIAN HILL FINE ART LTD,Adrian Hill Fine Art
3892,ADD-VANCE SOLUTIONS LIMITED,Add-Vance Solutions
3893,CHEMICAL RELEASE COMPANY LIMITED,Chemical Release
3894,'I SAY' SUPPORTED LIVING SERVICES LIMITED,'I Say' Supported Living Services
3895,ADVANCED ROBOTIC TECHNOLOGY LTD,Advanced Robotic Technology
3896,MULTIPRO LIMITED,Multipro
3897,EPSOM BUILT HOMES LIMITED,Epsom Built Homes
3898,PICKENFIELD LTD,Pickenfield
3899,TFL TRANSPORT & WAREHOUSING LIMITED,Tfl Transport & Warehousing
3900,AEROFIX AVIATION LIMITED,Aerofix Aviation
3901,1ST SOLUTION CONTRACTORS LTD,1St Solution Contractors
3902,ACTIVE ANALYTICS LTD.,Active Analytics
3903,51DEGREES.MOBI LIMITED,51Degrees.Mobi
3904,ACADEMY 4 DOGS LTD,Academy 4 Dogs
3905,MASS INFORMATION SYSTEMS LIMITED,Mass Information Systems
3906,3S COMMERCIAL LTD,3S Commercial
3907,EVOLUTION FOR REVOLUTION LIMITED,Evolution For Revolution
3908,CRANNOG CONTRACTS LTD,Crannog Contracts
3909,LIMEBUG LIMITED,Limebug
3910,INVISTA TEXTILES (U.K.) TRUSTEE COMPANY LIMITED,Invista Textiles Trustee
3911,GL FOODS LTD,Gl Foods
3912,GLOBAL ENHANCEMENT COMPANY LTD,Global Enhancement
3913,DECOR SUPPLIES LIMITED,Decor Supplies
3914,GREAT DUNMOW OSTEOPATHIC CLINIC LIMITED,Great Dunmow Osteopathic Clinic
3915,COUNTERSOFT LIMITED,Countersoft
3916,JAMES CAMPBELL ASSOCIATES LTD,James Campbell Associates
3917,BLUEPARK SOLUTIONS LIMITED,Bluepark Solutions
3918,ENSURE (IFA) LIMITED,Ensure
3919,BLENHEIM GROVE DEVELOPMENTS (CAMBERWELL) LIMITED,Blenheim Grove Developments
3920,GEOFFREY DASHWOOD LIMITED,Geoffrey Dashwood
3921,PRESTIGE CARS IRELAND LTD,Prestige Cars Ireland
3922,HOPAX EUROPE LIMITED,Hopax Europe
3923,F F DIRECT LIMITED,F F Direct
3924,LIVING MEDICINE,Living Medicine
3925,WRIGHTS DESIGN HOUSE LIMITED,Wrights Design House
3926,FUTURE PERFECT SOLUTIONS LIMITED,Future Perfect Solutions
3927,COURT THREE GRAPHIC DESIGN CONSULTANTS LIMITED,Court Three Graphic Design Consultants
3928,FORMATIVE DESIGN LIMITED,Formative Design
3929,CHANNELGLAZE LIMITED,Channelglaze
3930,MCAULEY MULTIMEDIA LTD,Mcauley Multimedia
3931,D COOPER MOTOR REPAIRS LTD,D Cooper Motor Repairs
3932,BRUTALLY SIMPLE LIMITED,Brutally Simple
3933,GARY PLANT ASSOCIATES LIMITED,Gary Plant Associates
3934,DALE SOLUTIONS LIMITED,Dale Solutions
3935,FLEET OPTIMISE LTD,Fleet Optimise
3936,LJM CONSULTANCY LTD,Ljm Consultancy
3937,ASYST LIMITED,Asyst
3938,ARCTIC AIR LIMITED,Arctic Air
3939,C.M. ENTERPRISES LIMITED,C.M. Enterprises
3940,JAMES H. GIVAN LIMITED,James H. Givan
3941,SAATHI RESTAURANT LIMITED,Saathi Restaurant
3942,ORANGE SUNSET LIMITED,Orange Sunset
3943,GENEALOGY WORLDWIDE LIMITED,Genealogy Worldwide
3944,OPTIMAL ECONOMICS LIMITED,Optimal Economics
3945,ULTIMATE CAR WASH LTD,Ultimate Car Wash
3946,OFFICE WISE LIMITED,Office Wise
3947,BPI INTERNATIONAL LIMITED,Bpi International
3948,PAUL ROLFE ESTATES LTD,Paul Rolfe Estates
3949,LENDLEASE US INVESTMENTS LIMITED,Lendlease Us Investments
3950,POMPOM GALORE LTD,Pompom Galore
3951,LISAP (UK) LIMITED,Lisap
3952,POTTERTON LOGISTICS LTD,Potterton Logistics
3953,BALMFORTHS LTD,Balmforths
3954,BONMOT-BERLIN LIMITED,Bonmot-Berlin
3955,KEYO HOLDINGS LTD,Keyo Holdings
3956,FINE-CAST FOUNDRY LIMITED,Fine-Cast Foundry
3957,EXECUTIVE CENTRE BRIGHTON LIMITED,Executive Centre Brighton
3958,FUREYS LIMITED,Fureys
3959,BJ CHEESE PACKAGING LTD,Bj Cheese Packaging
3960,CROWLEY MEMORIALS OF AGECROFT LIMITED,Crowley Memorials Of Agecroft
3961,M 12 SOLUTIONS LIMITED,M 12 Solutions
3962,EQUITY LEGAL SERVICES LIMITED,Equity Legal Services
3963,FIRSTWELL SERVICES LTD,Firstwell Services
3964,JUBILEE CONTROLS LIMITED,Jubilee Controls
3965,HEALTHY BALANCE CLINICS LIMITED,Healthy Balance Clinics
3966,INTERTRADE WHOLESALE LIMITED,Intertrade Wholesale
3967,LINDFORD HOUSE HOLIDAY COTTAGES LIMITED,Lindford House Holiday Cottages
3968,CURRENCY PUBLICATIONS LIMITED,Currency Publications
3969,HARLEQUIN NUTRITION LIMITED,Harlequin Nutrition
3970,EDIBLE ORNAMENTALS LIMITED,Edible Ornamentals
3971,LAMELLA STRUCTURES LIMITED,Lamella Structures
3972,HACS LIMITED,Hacs
3973,BUTCOMBE BREWERY (EBT) LIMITED,Butcombe Brewery
3974,RIGHT TRAX TRAINING LTD,Right Trax Training
3975,RPS FINANCE AAP LIMITED,Rps Finance Aap
3976,INNVOTEC ESOP LIMITED,Innvotec Esop
3977,RIDEHALGH NICHOLLS CONSULTING LIMITED,Ridehalgh Nicholls Consulting
3978,FERGILAND LIMITED,Fergiland
3979,FOUNDATION PROPERTY MANAGEMENT LTD,Foundation Property Management
3980,SCHERMULY DESIGN CO. LIMITED,Schermuly Design
3981,BWC MANAGEMENT SERVICES LIMITED,Bwc Management Services
3982,DANIEL'S SWEET HERRING LIMITED,Daniel'S Sweet Herring
3983,CID HOLDINGS LIMITED,Cid Holdings
3984,CANFORD GROUP LIMITED,Canford Group
3985,AGILE HOSPITALITY SOLUTIONS LTD,Agile Hospitality Solutions
3986,ALIGN BUILDING CONTROL LTD,Align Building Control
3987,DIXON COMMERCIAL EXPORTS LTD,Dixon Commercial Exports
3988,G-TECH MOTOR-WORKS LIMITED,G-Tech Motor-Works
3989,LOM ARCHITECTURE AND DESIGN LIMITED,Lom Architecture And Design
3990,SHAVEN RASPBERRY LIMITED,Shaven Raspberry
3991,DO GOOD BETTER LIMITED,Do Good Better
3992,HAZELTON HOMES (EAST MIDLANDS) LIMITED,Hazelton Homes
3993,KED SEALS LIMITED,Ked Seals
3994,SOLENT OUTBOARD EXCHANGE LIMITED,Solent Outboard Exchange
3995,IAN CROSSAN FINANCIAL SERVICES LIMITED,Ian Crossan Financial Services
3996,LIBRAMOUNT LIMITED,Libramount
3997,E.M. ELECTRONICS LTD,E.M. Electronics
3998,DEEP SOUTH TRADING LIMITED,Deep South Trading
3999,SALES CONNECTION (UK) LIMITED,Sales Connection
4000,LINCOLNSHIRE GLIDING CLUB LIMITED,Lincolnshire Gliding Club
4001,FORMA LEATHER LIMITED,Forma Leather
4002,AU CONSULTANCY LIMITED,Au Consultancy
4003,BONOVATE LIMITED,Bonovate
4004,GRANDLANE LIMITED,Grandlane
4005,FIRST EDITION TRANSLATIONS LIMITED,First Edition Translations
4006,C.R. CLOWES AND SON LIMITED,C.R. Clowes And Son
4007,G.H.A. HOLDINGS LIMITED,G.H.A. Holdings
4008,DATBLYGU CYF.,Datblygu Cyf.
4009,BLACK CAT PROPERTIES LIMITED,Black Cat Properties
4010,BELLING LEE LIMITED,Belling Lee
4011,Y3M CONNECTION LTD,Y3M Connection
4012,DOUBLE D SYSTEMS LTD,Double D Systems
4013,CASTLEMEAD DEVELOPMENTS LIMITED,Castlemead Developments
4014,INSIDE ADVICE LIMITED,Inside Advice
4015,ELITE PROPERTY BUILDING SERVICES LTD,Elite Property Building Services
4016,CAMPBELL GRAPHICS LIMITED,Campbell Graphics
4017,FRASER BROWN MACKENNA LTD,Fraser Brown Mackenna
4018,COMPUTER RESALE (CAMBRIDGE) LTD,Computer Resale
4019,CLAIRE ARMITAGE R.H.A.D. LIMITED,Claire Armitage R.H.A.D.
4020,VANESSA HORNE BEAUTY LTD,Vanessa Horne Beauty
4021,CONNAUGHT BROWN MANAGEMENT LIMITED,Connaught Brown Management
4022,COMPASS POINT RECRUITMENT LIMITED,Compass Point Recruitment
4023,CHETWOODS (LONDON) LIMITED,Chetwoods
4024,ARCHIGRAPH LIMITED,Archigraph
4025,CAVEHURST LIMITED,Cavehurst
4026,HADFIELD BRIDLEWORKS LIMITED,Hadfield Bridleworks
4027,APPLIGENICS LIMITED,Appligenics
4028,LIFTWELL PRODUCTION LIMITED,Liftwell Production
4029,THERMAL STORE COMPANY LIMITED,Thermal Store
4030,BEECH SOLUCORP LIMITED,Beech Solucorp
4031,FARECARE UK LTD,Farecare
4032,ROCKFIELD CONSULTANCY SERVICES LIMITED,Rockfield Consultancy Services
4033,OIL INSPECTIONS LIMITED,Oil Inspections
4034,KINGSDOWN RIDING CENTRE LIMITED,Kingsdown Riding Centre
4035,SWAIN HOUSE LIMITED,Swain House
4036,BAYSWATER WHOLESALE LIMITED,Bayswater Wholesale
4037,ARTSTATION,Artstation
4038,JRW HAULAGE LIMITED,Jrw Haulage
4039,I-WAY OXFORD LIMITED,I-Way Oxford
4040,G.M.T.S. (SALES) LIMITED,G.M.T.S.
4041,LINCOLNSHIRE GARDENS TRUST LIMITED,Lincolnshire Gardens Trust
4042,DME SOLUTIONS LIMITED,Dme Solutions
4043,BARE GRILLS LTD,Bare Grills
4044,JUST SOURCING LTD,Just Sourcing
4045,DON THE DRAIN LIMITED,Don The Drain
4046,FRANCIS EDWARDS LIMITED,Francis Edwards
4047,CHOICE RECRUITMENT LIMITED,Choice Recruitment
4048,BALM OF GILEAD HEALING MINISTRIES,Balm Of Gilead Healing Ministries
4049,DRIVER RESOURCE RECRUITMENT LIMITED,Driver Resource Recruitment
4050,EUROTECH INDUSTRIES TECHNICAL SERVICES LIMITED,Eurotech Industries Technical Services
4051,LIFELINE HEALTH LIMITED,Lifeline Health
4052,CLARIANT TRUSTEES LIMITED,Clariant Trustees
4053,DESIGNSINGLE LIMITED,Designsingle
4054,DLP (CONSULTING GROUP) LIMITED,Dlp
4055,TAO MARKETING LTD,Tao Marketing
4056,CURRENT ELECTRICAL LIMITED,Current Electrical
4057,DIANA HEAL & CO LTD,Diana Heal
4058,INTELOG LTD.,Intelog
4059,AYLESBURY WOMEN'S AID,Aylesbury Women'S Aid
4060,INTERPERSONNEL (HR) LIMITED,Interpersonnel
4061,BROADVISION (UK) LIMITED,Broadvision
4062,ORION PROPERTY GROUP LTD,Orion Property Group
4063,FERRON MAGNETIC INKS LTD,Ferron Magnetic Inks
4064,HOLLY FARM PROPERTIES LIMITED,Holly Farm Properties
4065,PHILIPPE HUREL (UK) LIMITED,Philippe Hurel
4066,LOMPIAIRE LIMITED,Lompiaire
4067,TAI CHI NATION CIC,Tai Chi Nation
4068,HARLEQUIN DIRECT LIMITED,Harlequin Direct
4069,GMS GARDEN & HOME MAINTENANCE SERVICES LTD,Gms Garden & Home Maintenance Services
4070,DOWNS LIMITED,Downs
4071,CONCORDE DIGITAL LTD.,Concorde Digital
4072,CAMDEN MOTORS (HOLDINGS) LIMITED,Camden Motors
4073,CLASS INSTRUMENTATION LTD,Class Instrumentation
4074,GREGGAINS PROPERTIES LIMITED,Greggains Properties
4075,F1 COMPUTING LIMITED,F1 Computing
4076,LAKELAND PLASTICS LIMITED,Lakeland Plastics
4077,AWG PROPERTY SOLUTIONS LIMITED,Awg Property Solutions
4078,HALES INVESTMENTS LIMITED,Hales Investments
4079,B&S ELECTRONIC SERVICES LIMITED,B&S Electronic Services
4080,EQUITY TRUST LIMITED,Equity Trust
4081,THOMAS FLINN & CO LIMITED,Thomas Flinn
4082,DENNIS'S REMOVALS LIMITED,Dennis'S Removals
4083,ENVIRONMENTAL MONITORING AND CONTROL LIMITED,Environmental Monitoring And Control
4084,KAVANAGH DESIGNS LTD,Kavanagh Designs
4085,ACCESS FLOORS (HOLDINGS) LIMITED,Access Floors
4086,F.T. PATTEN (HOLDINGS) LIMITED,F.T. Patten
4087,CROSSIER PROPERTIES LIMITED,Crossier Properties
4088,BAE SYSTEMS (FARNBOROUGH 2) LIMITED,Bae Systems
4089,HOMESERVE ENTERPRISES LIMITED,Homeserve Enterprises
4090,CHATSWORTH HOTEL (LLANDUDNO) LIMITED,Chatsworth Hotel
4091,INTERACT LIMITED,Interact
4092,GOWING & PURSEY LIMITED,Gowing & Pursey
4093,GUSTO GROUP LIMITED,Gusto Group
4094,BBA ARCHITECTS LTD,Bba Architects
4095,1ST OAKLEIGH CASES LTD,1St Oakleigh Cases
4096,MORTLAKE RESIDENTIAL LIMITED,Mortlake Residential
4097,ANTHONY WILLIAMS & CO. LIMITED,Anthony Williams
4098,LILLIPUT PUBLISHING LTD,Lilliput Publishing
4099,PKF JOHNSTON CARMICHAEL LIMITED,Pkf Johnston Carmichael
4100,CAREFOOT PLC,Carefoot
4101,PARAGON MORTGAGES (NO.22) HOLDINGS LIMITED,Paragon Mortgages Holdings
4102,3SIXTY ADVISORY LIMITED,3Sixty Advisory
4103,CANFORD CLIFFS ARCHITECTS LIMITED,Canford Cliffs Architects
4104,JACKSON LOWE MARKETING LIMITED,Jackson Lowe Marketing
4105,SCUNTHORPE INSTANT PRINT LIMITED,Scunthorpe Instant Print
4106,HURRICANE STUDIOS LIMITED,Hurricane Studios
4107,C & A CONSULTANTS (TORQUAY) LIMITED,C & A Consultants
4108,SARAH HURLEY LTD,Sarah Hurley
4109,THE NAKED MARSHMALLOW CO. LIMITED,The Naked Marshmallow
4110,RICHARD BUTLER & CO. LIMITED,Richard Butler
4111,FIREBIRD LIMITED,Firebird
4112,EXACT SOLUTIONS LIMITED,Exact Solutions
4113,EXPO DISPLAY SERVICE LIMITED,Expo Display Service
4114,EMGE & CO LTD,Emge
4115,BLACK WATCH LIMITED,Black Watch
4116,DIRECT RECRUITMENT (MIDLANDS) LIMITED,Direct Recruitment
4117,HARLOW WOOD CONSULTING LIMITED,Harlow Wood Consulting
4118,EASTON SURVEYORS LIMITED,Easton Surveyors
4119,HOP TILL YOU DROP LTD,Hop Till You Drop
4120,L.A.M. ASSOCIATES LIMITED,L.A.M. Associates
4121,HOMESERVE ASSISTANCE LIMITED,Homeserve Assistance
4122,EAGLE WORLDWIDE LIMITED,Eagle Worldwide
4123,EVS TRANSLATIONS (UK) LTD,Evs Translations
4124,ESSEX FINANCE LIMITED,Essex Finance
4125,LINCOLNSHIRE FOOTBALL ASSOCIATION LIMITED,Lincolnshire Football Association
4126,FTTL LTD,Fttl
4127,ALPHA INDEX LIMITED,Alpha Index
4128,ALLIED MANAGEMENT LIMITED,Allied Management
4129,EDT SURREY LIMITED,Edt Surrey
4130,MICHAEL MARTIN PARTNERSHIP 2018 LIMITED,Michael Martin Partnership 2018
4131,KENTONS PROPERTY SERVICES LIMITED,Kentons Property Services
4132,EXTONS LTD.,Extons
4133,DA COSTA & CO. LIMITED,Da Costa
4134,BG GAS SUPPLY (UK) LIMITED,Bg Gas Supply
4135,INSIDE OUT BATHROOMS LIMITED,Inside Out Bathrooms
4136,DIGITAL VISION DIRECT (UK) LTD.,Digital Vision Direct
4137,AMS ADVANCED MARKETING SERVICES LIMITED,Ams Advanced Marketing Services
4138,INNOCENT COLOURS LIMITED,Innocent Colours
4139,SLPH TECHNOLOGIES LIMITED,Slph Technologies
4140,LAURIATE LTD,Lauriate
4141,MORGAN'S LIFTING SERVICES LIMITED,Morgan'S Lifting Services
4142,FORGET ME NOT DESIGNS LIMITED,Forget Me Not Designs
4143,LEYLAND PACKAGING COMPANY (LANCS) LIMITED,Leyland Packaging
4144,BAKER GLADSTONE AND YORK LIMITED,Baker Gladstone And York
4145,RI-IM LTD,Ri-Im
4146,DOMAINES INVESTMENTS LTD,Domaines Investments
4147,GLOBAL TRIBUTES LIMITED,Global Tributes
4148,HILDEBRANDT DESIGN LIMITED,Hildebrandt Design
4149,HAPPY CAKES UK LIMITED,Happy Cakes
4150,DALE HOUSE SCHOOL LIMITED,Dale House School
4151,HAZ HOLDINGS LIMITED,Haz Holdings
4152,ANDREW LARGE SURVEYORS LIMITED,Andrew Large Surveyors
4153,BEDGEBURY LTD,Bedgebury
4154,GLENSIDE HOLDINGS LIMITED,Glenside Holdings
4155,DATA EVALUATIONS LIMITED,Data Evaluations
4156,FIREMASTER ALARMS LIMITED,Firemaster Alarms
4157,FOODCHAIN ID CERTIFICATION LIMITED,Foodchain Id Certification
4158,DESIGN COMMUNICATIONS (UK) LIMITED,Design Communications
4159,ELLIOTT CLARK LIMITED,Elliott Clark
4160,CABLE & WIRELESS WORLDWIDE VOICE MESSAGING LIMITED,Cable & Wireless Worldwide Voice Messaging
4161,BLACKSAFE CONSULTING LIMITED,Blacksafe Consulting
4162,EDON 2000 LIMITED,Edon 2000
4163,DRAINMASTER (UK) LTD,Drainmaster
4164,GBA LONDON LIMITED,Gba London
4165,ROCCO HOMES (NO.2) LIMITED,Rocco Homes
4166,FAIRPORT PROPERTIES LIMITED,Fairport Properties
4167,JMD ENGINEERING & PROFILES LIMITED,Jmd Engineering & Profiles
4168,EDUCATION INTERNET LIMITED,Education Internet
4169,GENXSPORTS LIMITED,Genxsports
4170,EDUCARE FOR EARLY YEARS LIMITED,Educare For Early Years
4171,WILLOWS PROJECT MANAGEMENT LIMITED,Willows Project Management
4172,IONIC INFORMATION LIMITED,Ionic Information
4173,MATCH CLOTHING LIMITED,Match Clothing
4174,GEOFF RICKETTS FREIGHT LIMITED,Geoff Ricketts Freight
4175,AVANTGARDE BUILDING SYSTEMS INTERNATIONAL LIMITED,Avantgarde Building Systems International
4176,CENTRAL MAIL SERVICES LIMITED,Central Mail Services
4177,RON PERRY HOLDINGS LIMITED,Ron Perry Holdings
4178,COMFY HOUSE LIMITED,Comfy House
4179,GARNEL SOFTWARE LTD,Garnel Software
4180,CINDERFORD AREA NEIGHBOURHOOD DEVELOPMENT INITIATIVE                            (C.A.N.D.I.),Cinderford Area Neighbourhood Development Initiative
4181,L.B. PROPERTY MANAGEMENT SERVICES LIMITED,L.B. Property Management Services
4182,HYMN TECHNOLOGY LTD.,Hymn Technology
4183,EUROASIA TRAVELS LTD,Euroasia Travels
4184,ARTEMEDIA LOOPS LTD.,Artemedia Loops
4185,DELUXE CORPORATION LIMITED,Deluxe
4186,BECKETT TRANSLATION SERVICES LTD,Beckett Translation Services
4187,BURGESS RECLAMATION LIMITED,Burgess Reclamation
4188,INFITECH SOLUTIONS LIMITED,Infitech Solutions
4189,ROLLS LANDSCAPING LTD,Rolls Landscaping
4190,THE WALTZING WEASEL LIMITED,The Waltzing Weasel
4191,CLEARVIEW INDUSTRIES LIMITED,Clearview Industries
4192,HANDLING MATTERS LIMITED,Handling Matters
4193,DELICHON LIMITED,Delichon
4194,GWL DEVELOPMENTS LIMITED,Gwl Developments
4195,CRAYMER EAST LIMITED,Craymer East
4196,CONCEPT MARKETING SERVICES LIMITED,Concept Marketing Services
4197,DOT MEET DOT LIMITED,Dot Meet Dot
4198,EMPIRIC (BRISTOL ST MARY'S) LEASING LIMITED,Empiric Leasing
4199,THE TRAILHEAD BICYCLE COMPANY LTD,The Trailhead Bicycle
4200,CARMICHAEL PROJECT MANAGEMENT LIMITED,Carmichael Project Management
4201,DYNAMIC HANDLING SYSTEMS LIMITED,Dynamic Handling Systems
4202,CONTRACT TURNING LIMITED,Contract Turning
4203,LTA SERVICES LIMITED,Lta Services
4204,MANCHESTER QUAYS DEVELOPMENTS TWELVE LIMITED,Manchester Quays Developments Twelve
4205,EARLY BATH LIMITED,Early Bath
4206,PENEMENT DESIGN LTD,Penement Design
4207,COMPACBRAND LIMITED,Compacbrand
4208,GLEEDS CAPITAL LIMITED,Gleeds Capital
4209,HIGH ROAD TRAINING LTD,High Road Training
4210,INMAR ELECTRICAL LTD.,Inmar Electrical
4211,G O FOSTER LIMITED,G O Foster
4212,VIRTUAL IT SERVICES PROVIDER LTD,Virtual It Services Provider
4213,CONFERENCE HOUSE LIMITED,Conference House
4214,DESYFIELD LIMITED,Desyfield
4215,HUXLEY (UK) LIMITED,Huxley
4216,JACKIE BIGGIN MEDIA ASSOCIATES LIMITED,Jackie Biggin Media Associates
4217,EXTRACARE RETAIL LIMITED,Extracare Retail
4218,KHAN PROMOTIONS LTD,Khan Promotions
4219,BROCKWAY CONSULTING SERVICES LIMITED,Brockway Consulting Services
4220,GADCCTI LTD,Gadccti
4221,HITECSA UK LIMITED,Hitecsa
4222,W. WING YIP (LONDON) LIMITED,W. Wing Yip
4223,GROUNDWORK NORTH LONDON,Groundwork North London
4224,ACREDIA LIMITED,Acredia
4225,GLOBAL APPOINTMENTS LIMITED,Global Appointments
4226,ONESITE BUILDING PRODUCTS LTD,Onesite Building Products
4227,BARRINGTON SPORTS LTD,Barrington Sports
4228,CASH REGISTERS (GRIMSBY) LIMITED,Cash Registers
4229,TRADE CHEMICALS LIMITED,Trade Chemicals
4230,ENSURE FIRE SAFETY LIMITED,Ensure Fire Safety
4231,INFRACARE OXFORD LIMITED,Infracare Oxford
4232,EXPLORERS CONNECT LIMITED,Explorers Connect
4233,EXLABESA BUILDING SYSTEMS LIMITED,Exlabesa Building Systems
4234,TOP GUN REALISATIONS 70 LIMITED,Top Gun Realisations 70
4235,KAT AND BEE LTD,Kat And Bee
4236,JEAN PATOU WORLDWIDE LIMITED,Jean Patou Worldwide
4237,FOUR WALLS INTERIOR DESIGN LTD,Four Walls Interior Design
4238,TIN MAN COMMUNICATIONS LIMITED,Tin Man Communications
4239,FIRE SAFETY ENGINEERING LIMITED,Fire Safety Engineering
4240,CANARY WHARF (FS HOLDCO) LIMITED,Canary Wharf
4241,TELIDOS LIMITED,Telidos
4242,KNIGHT FOX LTD,Knight Fox
4243,IT INFRASTRUCTURE MANAGEMENT LIMITED,It Infrastructure Management
4244,CLOCH SOLICITORS LIMITED,Cloch Solicitors
4245,KINGSWOOD CATERING LIMITED,Kingswood Catering
4246,BEAGLE AEROSPACE LIMITED,Beagle Aerospace
4247,BEAGLE PRECISION LIMITED,Beagle Precision
4248,CORINTHIAN ENTERTAINMENT LTD,Corinthian Entertainment
4249,KELHAM ISLAND COMMUNITY CHILDCARE LTD,Kelham Island Community Childcare
4250,BLUE ATLAS WEALTH LIMITED,Blue Atlas Wealth
4251,CW VENTILATION LTD,Cw Ventilation
4252,ARTILY GROUP LTD,Artily Group
4253,GARDEN FORCE (ONLINE) LIMITED,Garden Force
4254,DTP CONSTRUCTION LIMITED,Dtp Construction
4255,ESFANDIAR LTD,Esfandiar
4256,CRUSADER KEGS AND CASKS LTD,Crusader Kegs And Casks
4257,BOURNE CARPETS LIMITED,Bourne Carpets
4258,IT'S A JUNGLE LTD,It'S A Jungle
4259,ATARIS CARS LTD,Ataris Cars
4260,DEFEYE CREATIVE LIMITED,Defeye Creative
4261,EXECUTIVE PAVING LIMITED,Executive Paving
4262,SAPPHIRE CHOICE UK LTD.,Sapphire Choice
4263,JUNCTION FIFTEEN LIMITED,Junction Fifteen
4264,KALLOS GALLERY LIMITED,Kallos Gallery
4265,BARKING ROAD FURNITURE LIMITED,Barking Road Furniture
4266,EMERGENCY PROPERTY SERVICES (UK) LTD,Emergency Property Services
4267,CARDIFF SOFT PLAY LIMITED,Cardiff Soft Play
4268,HELP YATEEM,Help Yateem
4269,JOANNE DOBIE LIMITED,Joanne Dobie
4270,KILLEAVY CASTLE LIMITED,Killeavy Castle
4271,DIGITAL SAINTS LIMITED,Digital Saints
4272,EFFECTIVE SCHOOL GOVERNANCE LTD,Effective School Governance
4273,IMG DEVELOPMENTS LTD,Img Developments
4274,MALIBU TANNING STUDIO LIMITED,Malibu Tanning Studio
4275,BASSMEAD MANOR BARNS LIMITED,Bassmead Manor Barns
4276,G CARSON ELECTRICAL LTD,G Carson Electrical
4277,EL CORTADOR LIMITED,El Cortador
4278,BISCUIT BUNKER LTD,Biscuit Bunker
4279,GLYCONICS LIMITED,Glyconics
4280,DESIVA PRODUCE LIMITED,Desiva Produce
4281,DIXON PROPERTIES (YORKSHIRE) LIMITED,Dixon Properties
4282,JAIME HIBBERT LTD,Jaime Hibbert
