id,name,company_name_cleaned
111,GENTECH ENGINEERING DEVELOPMENTS LIMITED,Gentech Engineering Developments
112,ELLIOTT'S TRADITION LIMITED,Elliott'S Tradition
113,EUROFAB ENGINEERING STRUCTURES LTD,Eurofab Engineering Structures
114,COSTAS THE BARBER SHOP LTD,Costas The Barber Shop
115,CHESTER LASER AESTHETICS LIMITED,Chester Laser Aesthetics
116,EMAT LIMITED,Emat
117,M P COLEMAN LIMITED,M P Coleman
118,DOUGLAS SIGNS LIMITED,Douglas Signs
119,BEAT STREET LTD,Beat Street
120,MCNEILL MEDIA LIMITED,Mcneill Media
121,IAN CHARLES SALON LIMITED,Ian Charles Salon
122,D P L INTERNATIONAL LTD,D P L International
123,C.Q.A. INTERNATIONAL LTD,C.Q.A. International
124,LOUIS POTTS LTD,Louis Potts
125,CONNIFERS CARE LIMITED,Connifers Care
126,DIMORE ITALIANE LIMITED,Dimore Italiane
127,ENVISAGER LIMITED,Envisager
128,W.K.K. ELECTRICAL SERVICES LTD,W.K.K. Electrical Services
129,COOKSTOWN CARAVANS LTD,Cookstown Caravans
130,DN DESIGN LIMITED,Dn Design
131,CECARA CONSULTING LIMITED,Cecara Consulting
132,TIMOTHY SMYTH HAIR DESIGN LTD,Timothy Smyth Hair Design
133,WILLIAM CLARK & SONS LIMITED,William Clark & Sons
134,B & J LOWREY STORAGE AND DISTRIBUTION LIMITED,B & J Lowrey Storage And Distribution
135,EASYMILL LIMITED,Easymill
136,LARNE COACHWORKS LIMITED,Larne Coachworks
137,HAWKINS MECHANICAL SERVICES LTD,Hawkins Mechanical Services
138,MERIDIAN UTILITIES LIMITED,Meridian Utilities
139,COZYHOMES4U LIMITED,Cozyhomes4U
140,JEBARR LIMITED,Jebarr
141,FIRST CLASS (BRISTOL) LIMITED,First Class
142,DAL TELECOMMUNICATIONS LIMITED,Dal Telecommunications
143,FINE SPORTING COLLECTABLES LIMITED,Fine Sporting Collectables
144,HEWBOURN LIMITED,Hewbourn
145,A.D. SURVEYORS LTD,A.D. Surveyors
146,A PIECE OF CAKE LIMITED,A Piece Of Cake
147,BEA FIRE SAFETY LIMITED,Bea Fire Safety
148,BHATTI & CO. LIMITED,Bhatti
149,GRACECHURCH UTG NO. 212 LIMITED,Gracechurch Utg No. 212
150,ESR ENTERPRISE LIMITED,Esr Enterprise
151,CURRIE ENGINEERING (GARVAGH) LIMITED,Currie Engineering
152,GRAFF VENTURES LIMITED,Graff Ventures
153,FALCON TRAVEL WAKEFIELD LIMITED,Falcon Travel Wakefield
154,TRENCH CONTROL NI LIMITED,Trench Control Ni
155,HEALTHRIGHT LIMITED,Healthright
156,QOIN LIMITED,Qoin
157,INTERGLOBE IMPORTS & EXPORTS LTD,Interglobe Imports & Exports
158,SOLLERTIA STATION,Sollertia Station
159,BROUGHTON SECURITY ALARMS LTD,Broughton Security Alarms
160,BOSTON MILLER LIMITED,Boston Miller
161,HST TOURS LIMITED,Hst Tours
162,K.M. MALAK & CO LIMITED,K.M. Malak
163,INTERNATIONAL MOUNTED GAMES ASSOCIATION,International Mounted Games Association
164,THE WEB THEATRE LTD,The Web Theatre
165,ART PURSUITS ABROAD LIMITED,Art Pursuits Abroad
166,COMPLETE TELECOMS LIMITED,Complete Telecoms
167,KENSINGTON LETTING COMPANY LIMITED,Kensington Letting
168,COUCHS GREAT HOUSE RESTAURANT LIMITED,Couchs Great House Restaurant
169,JOLLIFFE CONSULTANCY LIMITED,Jolliffe Consultancy
170,CONSTRUCTION MAINTENANCE LABOUR LIMITED,Construction Maintenance Labour
171,C A INTERIORS LIMITED,C A Interiors
172,AUTOFAST (CATERHAM) LTD,Autofast
173,GALLIPOLI FILM PARTNER 1 LIMITED,Gallipoli Film Partner 1
174,GREENVILLE ENERGY LTD,Greenville Energy
175,JEFFERIES ACCOUNTANCY SERVICES LTD,Jefferies Accountancy Services
176,DIPLOMA CANADA HOLDINGS LIMITED,Diploma Canada Holdings
177,BELAF LIMITED,Belaf
178,LONDON HOME SERVICES LIMITED,London Home Services
179,HEALTHWORKS CLINIC LTD,Healthworks Clinic
180,GORGEOUS PR LIMITED,Gorgeous Pr
181,LDA PROPERTIES LIMITED,Lda Properties
182,GLEN FRESH FOODS LTD,Glen Fresh Foods
183,NORTH WEST SCREEN AND DESIGN LIMITED,North West Screen And Design
184,BVALUED LTD.,Bvalued
185,HEDONISM (SPALDING) LIMITED,Hedonism
186,INSPIRE MALAWI LIMITED,Inspire Malawi
187,HALL PARK PROPERTIES LIMITED,Hall Park Properties
188,GRACECHURCH UTG NO. 157 LIMITED,Gracechurch Utg No. 157
189,COMPLICITE ENTERPRISES LIMITED,Complicite Enterprises
190,PROTEX (NI) LIMITED,Protex
191,G J LEWIS & SONS LIMITED,G J Lewis & Sons
192,COOLSERV AIRCONDITIONING SERVICES LIMITED,Coolserv Airconditioning Services
193,GRACECHURCH UTG NO. 293 LIMITED,Gracechurch Utg No. 293
194,CIPHER COMMUNICATIONS LTD,Cipher Communications
195,BELGRAVE GATE LIMITED,Belgrave Gate
196,JAPAN HOMES LIMITED,Japan Homes
197,BROAD HORIZONS MARKETING LIMITED,Broad Horizons Marketing
198,EASTERN NATURAL CARE LIMITED,Eastern Natural Care
199,ARC WEALTH MANAGEMENT LTD,Arc Wealth Management
200,AQUAMARINE UPHOLSTERY LIMITED,Aquamarine Upholstery
201,CROOKSHANKS LTD,Crookshanks
202,CAMERON CREATIVE LTD,Cameron Creative
203,FLAVOUR PRODUCTIONS LIMITED,Flavour Productions
204,FORRESTER ACCESS LIMITED,Forrester Access
205,THE NEST (NORFOLK'S COMMUNITY HUB) LIMITED,The Nest
206,LEWISHAM SPORTS CONSORTIUM,Lewisham Sports Consortium
207,ELLIOTT GROUND SOURCE DRILLING SERVICES LIMITED,Elliott Ground Source Drilling Services
208,CREATING MEMORIES LIMITED,Creating Memories
209,DEAD SEA TRAVEL LIMITED,Dead Sea Travel
210,BURTON PHYSIOTHERAPY LTD,Burton Physiotherapy
211,BARISTA COFFEE HOUSE LIMITED,Barista Coffee House
212,DRS RUDD LIMITED,Drs Rudd
213,BORDERVALLEY LIMITED,Bordervalley
